,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Heuristic,CAEB,CAE,CAESL,CAEDL,CAESDL
1,0.0,12.0,6.0,14.0,13.0,0.0,0.0,0.23158806950408742,0.2474960100704814,0.25352309174783744,0.28397923682456777,0.30412977054979223,0.3059530647672542
2,0.0,12.0,6.0,14.0,12.0,0.0,0.0,0.20737782154223686,0.18655808169873353,0.19726691885042308,0.2608708685791944,0.19210348489768933,0.22488596763624458
3,0.0,12.0,6.0,14.0,15.0,41.0,0.0,0.2590464107379324,0.33729065995801466,0.3707842087361803,0.45274976872192146,0.43735468115813875,0.42470093886084337
4,0.0,12.0,6.0,14.0,14.0,40.0,0.0,0.3147483899884667,0.14558621450958867,0.15162969302569032,0.2017770845289707,0.18373468626006012,0.1675746928619685
5,0.0,12.0,6.0,14.0,17.0,0.0,0.0,0.2480043539742692,0.45591063145097394,0.456653210772605,0.5512773876879489,0.5015422435725968,0.4809032060139469
6,0.0,12.0,6.0,14.0,16.0,55.0,0.0,0.22757932177311183,0.43520067784658434,0.43913601325480134,0.5592178779875844,0.5342484539363302,0.4800003764304109
7,1.0,12.0,5.0,4.0,1.0,0.0,0.0,0.6414589496973233,0.6469244827670155,0.6852954410298312,0.6546310510726061,0.6789406803354985,0.6611313100786678
8,1.0,12.0,5.0,4.0,0.0,0.0,0.0,0.3962206651593851,0.6500825797252899,0.6724228258532129,0.6175640169884676,0.652402083553644,0.6356935260943266
9,1.0,12.0,5.0,4.0,3.0,28.0,0.0,0.15172577528972764,0.5634349756587487,0.5320142584781101,0.48850898509343454,0.48289597679499197,0.5055255609651504
10,1.0,12.0,5.0,4.0,2.0,19.0,0.0,0.12853484872277066,0.38405585138756815,0.36412729018746504,0.3105612842588857,0.24907178993279075,0.2842739686059126
11,1.0,12.0,5.0,4.0,5.0,63.0,0.0,0.14239690060060584,0.41997021249542715,0.328130179160154,0.3954203859024722,0.2468521433724127,0.3251630837759456
12,1.0,12.0,5.0,4.0,4.0,47.0,0.0,0.13253058566557233,0.35175851527848273,0.2820816272924211,0.37802361041229543,0.23486297748066035,0.2856108767594568
13,2.0,12.0,6.0,10.0,7.0,60.0,0.0,0.16187298203002828,0.2856305895153742,0.30970187899371987,0.35776251707242696,0.3143250445406784,0.3604086205488279
14,2.0,12.0,6.0,10.0,6.0,46.0,0.0,0.2090244274648476,0.22715963384115959,0.2333961902755101,0.27096641634588775,0.2384670162326825,0.25172601292068375
