,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Random,Heuristic,CAEBOriginal,CAEB,CAE,CAESL,CAEDL,CAESDL
1,0.0,12.0,6.0,14.0,13.0,0.0,0.0,0.4825835819982816,0.24871527830494625,0.2584913737072127,0.26085876151311016,0.27556500497775177,0.22230504788907723,0.2835847679638681,0.31452817196720795
2,0.0,12.0,6.0,14.0,12.0,0.0,0.0,0.6490480079070637,0.2831057477024923,0.1843471489357331,0.2027418870736359,0.20455192901872646,0.15072537273289333,0.2023880460098017,0.1903886582328381
3,0.0,12.0,6.0,14.0,15.0,41.0,0.0,0.7733871972607422,0.2894709589209968,0.40739521889271707,0.4373916706761637,0.46797187919521904,0.37046634795076466,0.4492875209736796,0.4810308598489549
4,0.0,12.0,6.0,14.0,14.0,40.0,0.0,0.629225046932433,0.31347050468260873,0.15235920439437275,0.13483560592285654,0.13921228824814116,0.11380698478904602,0.15010662414403977,0.15222660883216355
5,0.0,12.0,6.0,14.0,17.0,0.0,0.0,0.47844341897209974,0.3349270323620525,0.4710057331763051,0.49087670923302934,0.4956905763909395,0.4103114785938775,0.46968752075591264,0.48127485598912667
6,0.0,12.0,6.0,14.0,16.0,55.0,0.0,0.8379357237240569,0.22370647345882125,0.4631978258813356,0.4944963252455257,0.5455212425870634,0.494546172629542,0.48629361191533654,0.4620889308309688
7,1.0,12.0,5.0,4.0,1.0,0.0,0.0,0.654527425988054,0.6630966715287947,0.7772331226362786,0.7490525356161584,0.7002103992796426,0.7062934813229995,0.7174415949033822,0.7431216584028207
8,1.0,12.0,5.0,4.0,0.0,0.0,0.0,0.501100382020117,0.512287064929286,0.7358764655544887,0.7567384641691971,0.668494662442657,0.7139937314984897,0.7029528109902625,0.7185281191146239
9,1.0,12.0,5.0,4.0,3.0,28.0,0.0,0.18838788361967684,0.3170515455738379,0.6385637453005295,0.5991198099232439,0.4914875368775782,0.4923682972636912,0.46569217770218846,0.5124546220329905
10,1.0,12.0,5.0,4.0,2.0,19.0,0.0,0.23631240705986511,0.265004287152421,0.4220782219486035,0.35528098343481146,0.28785917973697095,0.2891106252789252,0.30099509969915494,0.2975748114916221
11,1.0,12.0,5.0,4.0,5.0,63.0,0.0,0.48757679050230757,0.2642767393490453,0.4204146608162857,0.3823363748682186,0.29586991949778374,0.2257253152850164,0.35886272025766186,0.3462793817400084
12,1.0,12.0,5.0,4.0,4.0,47.0,0.0,0.44858847226530446,0.2208812749667835,0.3449129248201077,0.39640972536585234,0.3364151457978412,0.2782717604177719,0.436869904933837,0.3454068769755764
13,2.0,12.0,6.0,10.0,7.0,60.0,0.0,0.6532372492941007,0.15746723013534347,0.37399090026701054,0.2508580302218761,0.35173788312483584,0.3236500597468461,0.27017539358654546,0.29386761997362737
14,2.0,12.0,6.0,10.0,6.0,46.0,0.0,0.4724665483797245,0.16231062982924735,0.3353515141896955,0.16340336659309104,0.2719716782281998,0.2395277738138157,0.24637761687824541,0.22954956186499284
