,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Heuristic,CAEB,CAE,CAESL,CAEDL,CAESDL
1,0.0,12.0,6.0,14.0,13.0,0.0,0.0,0.23158806950408742,0.2870657754465459,0.3039535446040629,0.3181787327259083,0.33159640629982373,0.28511645810013236
2,0.0,12.0,6.0,14.0,12.0,0.0,0.0,0.20737782154223686,0.21211040767485506,0.19287594345787487,0.24701355386855223,0.22358415648440333,0.2044259395643158
3,0.0,12.0,6.0,14.0,15.0,41.0,0.0,0.2590464107379324,0.4085741296768719,0.41824299702970086,0.5141293403622527,0.4850478733237044,0.44677649669012703
4,0.0,12.0,6.0,14.0,14.0,40.0,0.0,0.3147483899884667,0.20000457147594927,0.16998242999132593,0.20967338127226257,0.20132792281574788,0.20267411711008418
5,0.0,12.0,6.0,14.0,17.0,0.0,0.0,0.2480043539742692,0.5761230391456054,0.5332088444951366,0.6049103394494804,0.590502030272859,0.5057498324353263
6,0.0,12.0,6.0,14.0,16.0,55.0,0.0,0.22757932177311183,0.5181696718915418,0.5284305844114128,0.5660046046713936,0.551016784730017,0.5540399175779364
7,1.0,12.0,5.0,4.0,1.0,0.0,0.0,0.6414589496973233,0.7244068971362543,0.6598737080491991,0.6758375916670882,0.7031794135928735,0.7356964001189689
8,1.0,12.0,5.0,4.0,0.0,0.0,0.0,0.3962206651593851,0.7112930646876624,0.6204227631972824,0.6622094831541131,0.6628571730481155,0.7093853094205904
9,1.0,12.0,5.0,4.0,3.0,28.0,0.0,0.15172577528972764,0.5955156944306219,0.4157474256315062,0.4473775457508345,0.46216819606917964,0.4708670490591021
10,1.0,12.0,5.0,4.0,2.0,19.0,0.0,0.12853484872277066,0.353672520758689,0.277832968943132,0.2757406679533568,0.25364188212132677,0.2890763854379065
11,1.0,12.0,5.0,4.0,5.0,63.0,0.0,0.14239690060060584,0.3632873284791452,0.27628163086102575,0.3154539100915345,0.3134239084509192,0.29482894029720064
12,1.0,12.0,5.0,4.0,4.0,47.0,0.0,0.13253058566557233,0.3494647752871121,0.3328951141174359,0.3191787910660422,0.28127242981933265,0.2605745048896508
13,2.0,12.0,6.0,10.0,7.0,60.0,0.0,0.16187298203002828,0.36887435355141923,0.274590695833818,0.35714847449926657,0.31966691800350117,0.40926479052783377
14,2.0,12.0,6.0,10.0,6.0,46.0,0.0,0.2090244274648476,0.288385143157473,0.22229865453849715,0.2527968101196609,0.22539867913861775,0.3154932021490752
15,2.0,12.0,6.0,10.0,9.0,22.0,0.0,0.34322591058371554,0.27808171783004815,0.23435242841731166,0.25005934916137995,0.2540127972030649,0.300176615429535
16,2.0,12.0,6.0,10.0,8.0,33.0,0.0,0.15232006506714874,0.3103898432594226,0.23169044820783352,0.2765632189957759,0.2617704399472379,0.3560298655541876
17,2.0,12.0,6.0,10.0,11.0,61.0,0.0,0.28827450398533694,0.2510555211432892,0.2096412106163915,0.21826943919965328,0.23710452373715737,0.2568991282256056
