,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,tim,adib,vae,cvae1,cvae2,cvae3,vaeb,cvae1b,cvae2b,cvae3b
51,8.0,12.0,8.0,10.0,9.0,22.0,0.0,0.33789175107607405,0.18429138201428424,0.3366845126075431,0.30317942629159494,0.32765360912690134,0.3460080817493242,0.4080539581416439,0.34756987559628394,0.34780058219104787,0.34974114099439885
52,8.0,12.0,8.0,10.0,8.0,10.0,0.0,0.5577145405621156,0.290813955482758,0.31142368870776915,0.4971066326940527,0.35160104775791007,0.5044689124368636,0.6240858311215669,0.3797370271017783,0.4208547910197206,0.4101337090249406
53,8.0,12.0,8.0,10.0,11.0,56.0,0.0,0.37156696528852795,0.17301019445189011,0.29906466318688685,0.367256493018757,0.3236763451331903,0.37812665216860997,0.32054086854909086,0.2109704246138284,0.2604321375329375,0.2313232781540127
54,8.0,12.0,8.0,10.0,10.0,39.0,0.0,0.30185204841171465,0.22722308162107513,0.3381781917375518,0.3917628198424375,0.291640636493991,0.4112660134250358,0.34706017700916386,0.24349870345806918,0.2888692150546716,0.2508272546964164
55,9.0,12.0,8.0,7.0,7.0,0.0,0.0,0.14427048942324125,0.14750940140833543,0.2645041526561633,0.23585727225369446,0.17347012577925827,0.2661164147776819,0.3875828454315021,0.28196486011571076,0.3291354219253708,0.2995552253436462
56,9.0,12.0,8.0,7.0,6.0,9.0,0.0,0.1007975729884556,0.14848096193821977,0.09964917751491292,0.18300685567313635,0.05551257984721158,0.19007876680498614,0.2476104514628995,0.13687259769062352,0.2213655896252462,0.18933439865863066
57,9.0,12.0,8.0,7.0,9.0,0.0,0.0,0.11305467349224887,0.13867081327502018,0.35695147765877894,0.33191015872832214,0.3759855325306708,0.36934437908511986,0.2377728721104259,0.30478892391902024,0.3756620453612543,0.34423249710311377
58,9.0,12.0,8.0,7.0,8.0,0.0,0.0,0.20415787976534552,0.24120339867211,0.3160805436499193,0.3763858428302071,0.27758681359944315,0.3890415158223149,0.3683739567473593,0.352097401387029,0.40863512557769516,0.403900933622498
59,9.0,12.0,8.0,7.0,11.0,17.0,0.0,0.26463487912791694,0.08575369273523997,0.3920248096480145,0.3777492934419963,0.4122398446643727,0.4173917260221298,0.12471740830127723,0.22924830421470507,0.2814142280279211,0.2303195218046429
60,9.0,12.0,8.0,7.0,10.0,0.0,0.0,0.13777624170074945,0.1275544895386334,0.4476987061056212,0.33189810895055327,0.33712177564388307,0.36670386894810053,0.1893938324700548,0.1789403999952981,0.21180879579948553,0.29085876032431296
61,10.0,12.0,4.0,1.0,1.0,45.0,0.0,0.38704766960215525,0.2660450748976118,0.5209796077375853,0.5921626282737925,0.386626017509843,0.5315862053735545,0.49488864299309077,0.4191555837256109,0.450714015198152,0.49505500013672915
62,10.0,12.0,4.0,1.0,0.0,0.0,0.0,0.1398824266376587,0.1355812190569276,0.11500516681906146,0.07458870633893964,0.2645315611955178,0.09096652187392268,0.1469034948358337,0.05299024992258314,0.09761623908040193,0.07029745092164826
63,10.0,12.0,4.0,1.0,3.0,46.0,0.0,0.32133827112921876,0.3642238632645279,0.8395993532199953,0.6615250287748351,0.7517353524695818,0.800871511204709,0.6656301271919596,0.7147933901208312,0.7087422577108121,0.7941942172580682
64,10.0,12.0,4.0,1.0,2.0,18.0,0.0,0.21261582830713874,0.28427246011930457,0.4551109276829944,0.470895125386781,0.46969964383038243,0.5237575051746725,0.4452357291212598,0.3738624634987047,0.3862078751029111,0.46885826763825733
65,10.0,12.0,4.0,1.0,5.0,25.0,0.0,0.38683390722860933,0.5139811447550247,0.8786386314812432,0.7570523806235876,0.8693615626667487,0.8680837721235142,0.8240421783814104,0.8300549073519677,0.8651606441183661,0.7760262676760632
66,10.0,12.0,4.0,1.0,4.0,35.0,0.0,0.3049321205423259,0.4238675040647538,0.722625479696082,0.5515576614215787,0.6035880328545612,0.6101055390154112,0.7124884877667256,0.6005786844190258,0.6211248088967257,0.5566312480007501
67,11.0,12.0,7.0,6.0,7.0,40.0,0.0,0.22090152488140308,0.2657366295513796,0.3161505383277704,0.1784073779054841,0.16883314101198724,0.20304983957903464,0.5415383844793794,0.28881971179097804,0.3414729922927614,0.33087320722341496
68,11.0,12.0,7.0,6.0,6.0,50.0,0.0,0.24648595981870924,0.24908153284665008,0.3867602533742491,0.38020772196543606,0.35693796511206605,0.4705915766058986,0.525836301139803,0.3432853569593605,0.39755359681491514,0.3292472971351911
69,11.0,12.0,7.0,6.0,9.0,0.0,0.0,0.23383336495954832,0.22681861203433895,0.4653910261594672,0.4177406344899488,0.7487728534851702,0.5906545645514601,0.48145515198943595,0.24088207268085737,0.27707350616492404,0.29090339541029714
70,11.0,12.0,7.0,6.0,8.0,43.0,0.0,0.17848726020534642,0.1616367271501088,0.3840643031824132,0.3533884311703971,0.39597423479526833,0.36592713448730035,0.4294553294727426,0.2198318267598816,0.2560853554948566,0.17013090931870808
71,11.0,12.0,7.0,6.0,11.0,0.0,0.0,0.37088561368947476,0.22471830654915836,0.4580810203189443,0.3967363199734503,0.3808821099426659,0.4645297239095168,0.49529828890131816,0.4020823409390617,0.4617452726351311,0.3577622590090763
72,11.0,12.0,7.0,6.0,10.0,43.0,0.0,0.36788055005098014,0.16971721247257146,0.3697605442351672,0.34569017504139343,0.31261823371051006,0.4187199778072616,0.35278904866848554,0.2416031083421199,0.3042322958697145,0.2223098723272293
73,12.0,12.0,11.0,0.0,1.0,57.0,0.0,0.39955623643916716,0.0993936727144291,0.2411283215022941,0.29265367155188166,0.45287148029977975,0.431608920602052,0.1597084731500188,0.11655998097837122,0.18906260623685092,0.26914709035861684
74,12.0,12.0,11.0,0.0,0.0,68.0,0.0,0.33884299221237435,0.16162096639682053,0.18984309539891586,0.3204814009455036,0.2405165310352854,0.45780753024338305,0.22737748540852673,0.21513025530491298,0.25231001983978585,0.2509357159382786
75,12.0,12.0,11.0,0.0,3.0,11.0,0.0,0.25283374689024696,0.3343283163876235,0.4272665827959931,0.5344922092994822,0.5862170098440714,0.7214160210148021,0.5197422899751379,0.4814005426736845,0.5156332700134534,0.4719590373816972
