,trial,listener,imitator,imitated_sound,rated_sound,rating,duplicate_flag,Heuristic,CAEB,CAE,CAESL,CAEDL,CAESDL
63,10.0,12.0,4.0,1.0,3.0,46.0,0.0,0.2800088798643992,0.6680825827814366,0.5842554682324508,0.5780536510139858,0.5980428221010577,0.5972052663238411
64,10.0,12.0,4.0,1.0,2.0,18.0,0.0,0.21186719761137363,0.3443087266208884,0.38763986327425376,0.4570934622842929,0.43090144104779143,0.4462356250342719
65,10.0,12.0,4.0,1.0,5.0,25.0,0.0,0.3048439149442901,0.7617303187731745,0.7187613430720085,0.6507588179432069,0.672462486661287,0.6442164765889847
66,10.0,12.0,4.0,1.0,4.0,35.0,0.0,0.24830966387171438,0.5223952435838068,0.5944169659452523,0.5737102505711574,0.4912265400460886,0.6050090439263803
67,11.0,12.0,7.0,6.0,7.0,40.0,0.0,0.14126930088077,0.3420256107942222,0.4082817125691497,0.43347954605500016,0.40732518164177056,0.43151397562196203
68,11.0,12.0,7.0,6.0,6.0,50.0,0.0,0.19774244206165661,0.3414296965046831,0.38199340933578657,0.4273164100036812,0.405143619507193,0.42963757526268015
69,11.0,12.0,7.0,6.0,9.0,0.0,0.0,0.14754181298042995,0.24375481722136988,0.3034983729311978,0.3249359298903239,0.3258000580571967,0.3400394869776295
70,11.0,12.0,7.0,6.0,8.0,43.0,0.0,0.11814914305447102,0.27152823335995385,0.32922970824695513,0.3676160204199906,0.3347493625205771,0.37017764482133614
71,11.0,12.0,7.0,6.0,11.0,0.0,0.0,0.21252393069832046,0.24547446730557937,0.28335426129844754,0.3642683422841185,0.36115235452759353,0.3607558400098176
72,11.0,12.0,7.0,6.0,10.0,43.0,0.0,0.20640044780844743,0.2120091581107694,0.225786312782733,0.34101510992845707,0.26963629916887233,0.2984200454913048
73,12.0,12.0,11.0,0.0,1.0,57.0,0.0,0.31975411341841736,0.07912844513588801,0.11819337825744694,0.09833753805652448,0.14421192117379045,0.13834201926354298
74,12.0,12.0,11.0,0.0,0.0,68.0,0.0,0.20565839888004592,0.12950878860908505,0.1704366215476336,0.14756106684773376,0.20635946853291795,0.18604781908829038
75,12.0,12.0,11.0,0.0,3.0,11.0,0.0,0.13095096282241034,0.4289145438628459,0.42779534480017745,0.46807152949116737,0.5612311383815777,0.5107159320979809
76,12.0,12.0,11.0,0.0,2.0,47.0,0.0,0.16318945635643614,0.4089560653022913,0.39755135176303086,0.47677520775769894,0.5034860320312068,0.497004216829196
77,12.0,12.0,11.0,0.0,5.0,0.0,0.0,0.21159053497851568,0.660205370214057,0.7425635545816717,0.7220727016490097,0.7588699034462328,0.7529462266847535
78,12.0,12.0,11.0,0.0,4.0,0.0,0.0,0.17408154577655718,0.5903701152159001,0.6998791025570645,0.6684354356064414,0.7164393407243791,0.692723571928735
79,13.0,12.0,3.0,3.0,1.0,0.0,0.0,0.16442071237267786,0.4214957899341698,0.3384161524415541,0.4143676172182392,0.34809863307444433,0.3585804936008858
80,13.0,12.0,3.0,3.0,0.0,0.0,0.0,0.1707268781454764,0.35486892599918324,0.303392158486128,0.4027286559485154,0.31395989241436295,0.3285289477339641
81,13.0,12.0,3.0,3.0,3.0,28.0,0.0,0.14047636500174956,0.34339230098813406,0.2420982830296353,0.29618813885513323,0.19693150234493806,0.2960777111911316
82,13.0,12.0,3.0,3.0,2.0,16.0,0.0,0.1572455312657762,0.32305414984448155,0.1654948251862696,0.276636664316459,0.18738881273032795,0.2523955573599076
